freq,tra_infr,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,MWAY,KM,DK02	260 	260 d	260 	260 	260 	267 	267 	267 	267 	270 	270 	279 
A,MWAY,KM,DK03	328 	329 d	329 	336 	372 	377 	377 	377 	378 	379 	379 	383 
A,MWAY,KM,DK04	197 	197 d	197 	200 	215 	223 	241 	242 	259 	306 	327 	330 
A,MWAY,KM,DK05	187 	187 d	187 	187 	187 	187 	187 	187 	186 	186 	186 	186 
A,MWAY,KM,EE00	104 	100 	115 	115 	124 	140 	141 	147 	145 	154 	154 	161 
A,MWAY,KM,ES11	907 	925 	961 	994 	995 	1015 	1031 	1080 	1105 	1105 	1112 	: 
A,MWAY,KM,ES12	389 	394 	394 	390 	408 	433 	454 	454 	453 	454 	454 	: 
A,MWAY,KM,ES13	214 	218 	218 	216 	227 	227 	227 	255 	255 	255 	255 	: 
A,MWAY,KM,ES21	510 	529 	535 	552 	533 	533 	474 	488 	496 	496 	496 	: 
A,MWAY,KM,ES22	345 	348 	356 	372 	372 	372 	372 	380 	380 	380 	380 	: 
A,MWAY,KM,ES23	159 	159 	159 	159 	165 	165 	176 	181 	181 	181 	181 	: 
A,MWAY,KM,ES24	667 	676 	704 	749 	752 	757 	767 	769 	788 	788 	793 	: 
A,MWAY,KM,ES30	751 	760 	753 	780 	771 	777 	783 	783 	771 	771 	766 	: 
A,MWAY,KM,ES41	1995 	2158 	2194 	2195 	2207 	2253 	2267 	2350 	2355 	2357 	2379 	: 
A,MWAY,KM,ES42	1553 	1636 	1775 	1772 	1816 	1816 	1812 	1812 	1815 	1815 	1817 	: 
A,MWAY,KM,ES43	640 	651 	668 	679 	694 	694 	700 	700 	703 	703 	703 	: 
A,MWAY,KM,ES51	1168 	1271 	1201 	1267 	1294 	1445 	1454 	1448 	1456 	1461 	1465 	: 
A,MWAY,KM,ES52	1091 	1091 	1116 	1131 	1138 	1142 	1142 	1141 	1183 	1186 	1190 	: 
A,MWAY,KM,ES53	94 	94 	94 	94 	94 	93 	94 	94 	94 	94 	94 	: 
A,MWAY,KM,ES61	2316 	2379 	2391 	2453 	2462 	2457 	2490 	2585 	2584 	2610 	2626 	: 
A,MWAY,KM,ES62	498 	517 	527 	533 	542 	569 	569 	572 	573 	596 	596 	: 
A,MWAY,KM,ES63	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,MWAY,KM,ES64	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,MWAY,KM,ES70	217 	217 	217 	219 	233 	233 	239 	246 	253 	271 	276 	: 
A,MWAY,KM,FI19	115 	114 	115 	126 	115 	115 	115 	115 	115 	115 	115 	115 
A,MWAY,KM,FI1B	257 	281 	281 	281 	281 	281 	322 	322 	322 	322 	322 	322 
A,MWAY,KM,FI1C	271 	271 	271 	271 	271 	281 	307 	307 	315 	318 	351 	351 
A,MWAY,KM,FI1D	95 	98 	112 	112 	112 	133 	138 	138 	138 	138 	138 	138 
A,MWAY,KM,FI20	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,FR10	605 	605 	605 	613 	613 	613 	613 	613 	613 	614 	613 	620 
A,MWAY,KM,FRB0	884 	983 	983 	982 	982 	982 	981 	981 	981 	980 	980 	980 
A,MWAY,KM,FRC1	686 	685 	685 	686 	683 	683 	683 	683 	683 	683 	683 	683 
A,MWAY,KM,FRC2	218 	218 	218 	218 	218 	218 	218 	218 	218 	218 	218 	218 
A,MWAY,KM,FRD1	255 	255 	284 	283 	287 	287 	297 	287 	287 	287 	287 	287 
A,MWAY,KM,FRD2	428 	427 	427 	427 	427 	427 	427 	443 	443 	442 	443 	442 
A,MWAY,KM,FRE1	627 	627 	627 	627 	627 	627 	627 	627 	626 	626 	626 	626 
A,MWAY,KM,FRE2	550 	550 	550 	550 	550 	550 	551 	551 	551 	551 	553 	553 
A,MWAY,KM,FRF1	301 	301 	302 	302 	302 	302 	302 	300 	300 	300 	300 	300 
A,MWAY,KM,FRF2	503 	503 	516 	516 	516 	515 	515 	515 	515 	522 	542 	543 
A,MWAY,KM,FRF3	465 	462 	462 	462 	462 	462 	462 	462 	462 	462 	462 	462 
A,MWAY,KM,FRG0	746 	745 	746 	748 	748 	748 	747 	747 	747 	747 	747 	747 
A,MWAY,KM,FRH0	50 	50 	50 	50 	50 	50 	50 	50 	50 	50 	50 	50 
A,MWAY,KM,FRI1	628 	635 	785 	785 	785 	875 	785 	876 	887 	886 	885 	885 
A,MWAY,KM,FRI2	263 	274 	274 	274 	274 	274 	274 	279 	279 	279 	279 	279 
A,MWAY,KM,FRI3	300 	300 	300 	300 	300 	300 	300 	300 	300 	300 	300 	300 
A,MWAY,KM,FRJ1	536 	546 	561 	563 	563 	563 	568 	568 	568 	568 	589 	589 
A,MWAY,KM,FRJ2	652 	652 	653 	652 	652 	652 	653 	653 	653 	652 	653 	652 
A,MWAY,KM,FRK1	380 	380 	380 	380 	380 	380 	380 	393 	393 	393 	393 	393 
A,MWAY,KM,FRK2	1211 	1211 	1230 	1245 	1244 	1294 	1294 	1300 	1300 	1300 	1305 	1305 
A,MWAY,KM,FRL0	754 	754 	754 	750 	750 	750 	754 	754 	759 	759 	762 	762 
A,MWAY,KM,FRM0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,FRY1	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,FRY2	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,FRY3	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,FRY4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,FRY5	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,HR03	603 	604 	604 	613 	613 	648 	650 	650 	650 	650 	650 	650 
A,MWAY,KM,HR04	596 	640 	640 	640 	640 	640 	640 	660 	660 	660 	660 	660 
A,MWAY,KM,HU11	: 	: 	: 	: 	: 	: 	62 	61 	61 	61 	61 	61 
A,MWAY,KM,HU12	: 	: 	: 	: 	: 	: 	239 	240 	241 	241 	243 	248 
A,MWAY,KM,HU21	254 	254 	267 	265 	265 	261 	261 	261 	261 	261 	261 	266 
A,MWAY,KM,HU22	167 	166 	165 	168 	168 	168 	168 	183 	188 	189 	189 	224 
A,MWAY,KM,HU23	125 	125 	297 	299 	299 	303 	303 	305 	305 	305 	305 	305 
A,MWAY,KM,HU31	174 	173 	173 	173 	173 	173 	174 	174 	174 	174 	176 	176 
A,MWAY,KM,HU32	132 	132 	132 	132 	132 	175 	190 	190 	190 	197 	226 	228 
A,MWAY,KM,HU33	143 	143 	145 	181 	181 	181 	181 	208 	208 	208 	209 	215 
A,MWAY,KM,IE04	: 	: 	: 	: 	: 	: 	83 	83 	83 	83 	83 	135 
A,MWAY,KM,IE05	: 	: 	: 	: 	: 	: 	471 	491 	491 	491 	491 	492 
A,MWAY,KM,IE06	: 	: 	: 	: 	: 	: 	344 	343 	343 	343 	343 	369 
A,MWAY,KM,ITC1	817 	817 	821 	821 	821 	821 	821 	829 	830 	830 	830 	: 
A,MWAY,KM,ITC2	114 	114 	114 	114 	114 	114 	114 	114 	114 	114 	114 	: 
A,MWAY,KM,ITC3	375 	375 	375 	375 	375 	375 	375 	375 	375 	375 	375 	: 
A,MWAY,KM,ITC4	587 	587 	589 	589 	604 	621 	679 	706 	708 	708 	715 	: 
A,MWAY,KM,ITF1	352 	352 	352 	352 	352 	352 	352 	355 	355 	355 	355 	: 
A,MWAY,KM,ITF2	36 	36 	36 	36 	36 	36 	36 	36 	36 	36 	36 	: 
A,MWAY,KM,ITF3	442 	442 	442 	442 	442 	442 	442 	443 	444 	444 	444 	: 
A,MWAY,KM,ITF4	313 	313 	313 	313 	313 	313 	313 	313 	313 	313 	313 	: 
A,MWAY,KM,ITF5	29 	29 	29 	29 	29 	29 	29 	29 	30 	30 	30 	: 
A,MWAY,KM,ITF6	295 	295 	295 	295 	295 	295 	295 	295 	288 	288 	288 	: 
A,MWAY,KM,ITG1	654 	654 	654 	654 	654 	662 	662 	678 	681 	681 	690 	: 
A,MWAY,KM,ITG2	: 	: 	: 	: 	: 	: 	: z	: 	: 	: 	: 	: 
A,MWAY,KM,ITH1	211 	211 	212 	212 	212 	212 d	212 d	212 d	212 d	212 d	212 d	: 
A,MWAY,KM,ITH3	493 	525 	525 	525 	556 	556 	576 	590 	588 	588 	595 	: 
A,MWAY,KM,ITH4	210 	210 	210 	210 	210 	210 	210 	210 	210 	210 	210 	: 
A,MWAY,KM,ITH5	568 	568 	568 	568 	568 	568 	568 	571 	572 	572 	572 	: 
A,MWAY,KM,ITI1	436 	436 	436 	436 	448 	448 	448 	463 	462 	462 	462 	: 
A,MWAY,KM,ITI2	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	59 	: 
A,MWAY,KM,ITI3	168 	168 	168 	168 	168 	168 	168 	168 	168 	168 	168 	: 
A,MWAY,KM,ITI4	470 	470 	470 	470 	470 	470 	485 	497 	498 	498 	498 	: 
A,MWAY,KM,LI00	: z	: z	: z	: z	: z	: z	0 	0 	0 	: z	0 	0 
A,MWAY,KM,LT01	: 	: 	: 	: 	: 	: 	: 	: 	: 	90 	90 	90 
A,MWAY,KM,LT02	: 	: 	: 	: 	: 	: 	: 	: 	: 	234 	234 	313 
A,MWAY,KM,LU00	147 	152 	152 	152 	152 	152 	152 	161 	161 	165 	165 	165 
A,MWAY,KM,LV00	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,MT00	: z	: z	: z	: z	: z	: 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,NL11	93 	93 	95 	95 	95 	95 	95 	110 	110 	107 	107 	107 
A,MWAY,KM,NL12	186 	193 	196 	195 	201 	201 	202 	206 	206 	206 	207 	207 
A,MWAY,KM,NL13	110 	128 	128 	127 	127 	127 	127 	148 	148 	148 	148 	148 
A,MWAY,KM,NL21	133 	147 	147 	150 	149 	150 	150 	150 	155 	155 	155 	178 
A,MWAY,KM,NL22	391 	393 	393 	393 	393 	393 	393 	393 	393 	393 	394 	404 
A,MWAY,KM,NL23	99 	99 	99 	99 	101 	103 	103 	103 	102 	102 	103 	103 
A,MWAY,KM,NL31	177 	177 	177 	177 	177 	177 	177 	176 	176 	176 	176 	185 
A,MWAY,KM,NL32	283 	283 	283 	282 	284 	290 	296 	296 	295 	297 	298 	298 
A,MWAY,KM,NL33	353 	353 	361 	362 	362 	362 	362 	361 	368 	368 	367 	358 
A,MWAY,KM,NL34	84 	65 	63 	65 	69 	68 	70 	71 	87 	87 	86 	87 
A,MWAY,KM,NL41	491 	483 	490 	489 	489 	489 	492 	505 	504 	504 	504 	504 
A,MWAY,KM,NL42	183 	219 	216 	216 	213 	213 	213 	212 	212 	216 	212 	212 
A,MWAY,KM,NO01	112 	119 	128 	133 	144 	166 	178 	181 	181 	174 	174 	182 
A,MWAY,KM,NO02	0 	0 	14 	14 	16 	16 	28 	28 	28 	37 	37 	49 
A,MWAY,KM,NO03	110 	151 	165 	172 	169 	183 	183 	222 	222 	229 	232 	247 
A,MWAY,KM,NO04	25 	63 	63 	63 	51 	63 	63 	63 	63 	63 	63 	86 
A,MWAY,KM,NO05	11 	11 	11 	11 	13 	13 	13 	12 	13 	20 	20 	20 
A,MWAY,KM,NO06	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	9 	9 
A,MWAY,KM,NO07	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,PL21	59 	79 	80 	80 	137 	136 	151 	151 	151 	151 	151 	151 
A,MWAY,KM,PL22	83 	100 	107 	130 	169 	169 	176 	176 	176 	175 	175 	214 
A,MWAY,KM,PL41	195 	195 	195 	210 	210 	211 	211 	211 	211 	211 	211 	211 
A,MWAY,KM,PL42	22 	22 	22 	22 	22 	22 	25 	25 	25 	25 	25 	25 
A,MWAY,KM,PL43	0 	0 	0 	89 	89 	89 	89 	89 	89 	89 	89 	89 
A,MWAY,KM,PL51	150 	199 	199 	222 	222 	222 	222 	222 	222 	222 	222 	222 
