Year,Country,Unit,MotorwayLengthKm
2014,HR,KM,1290.0
2014,HR,KM_TKM2,46.0
2014,HU,KM,1578.0
2014,HU,KM_TKM2,94.0
2014,IE,KM,898.0
2014,IT,KM,6844.0
2014,IT,KM_TKM2,484.0
2014,LI,KM,0.0
2014,LI,KM_TKM2,0.0
2014,LU,KM,152.0
2014,LU,KM_TKM2,59.0
2014,LV,KM,0.0
2014,LV,KM_TKM2,0.0
2014,MT,KM,0.0
2014,MT,KM_TKM2,0.0
2014,NL,KM,2680.0
2014,NL,KM_TKM2,953.0
2014,NO,KM,465.0
2014,NO,KM_TKM2,45.0
2014,PL,KM,1493.0
2014,PL,KM_TKM2,71.0
2014,PT,KM,0.0
2014,PT,KM_TKM2,0.0
2014,RO,KM,683.0
2014,RO,KM_TKM2,62.0
2014,SE,KM,2088.0
2014,SE,KM_TKM2,114.0
2014,SI,KM,607.0
2014,SI,KM_TKM2,63.0
2014,SK,KM,421.0
2014,SK,KM_TKM2,74.0
2014,TR,KM,2278.0
2014,TR,KM_TKM2,150.0
2014,UK,KM,115.0
2014,UK,KM_TKM2,8.0
2015,AT,KM,1719.0
2015,AT,KM_TKM2,281.0
2015,BE,KM,1765.0
2015,BE,KM_TKM2,666.0
2015,BG,KM,734.0
2015,BG,KM_TKM2,39.0
2015,CH,KM,1825.0
2015,CH,KM_TKM2,391.0
2015,CY,KM,257.0
2015,CY,KM_TKM2,28.0
2015,CZ,KM,776.0
2015,CZ,KM_TKM2,93.0
2015,DE,KM,3326.0
2015,DE,KM_TKM2,614.0
2015,DK,KM,1237.0
2015,DK,KM_TKM2,175.0
2015,EE,KM,147.0
2015,EE,KM_TKM2,3.0
2015,ES,KM,15338.0
2015,ES,KM_TKM2,675.0
2015,FI,KM,882.0
2015,FI,KM_TKM2,48.0
2015,FR,KM,11600.0
2015,FR,KM_TKM2,495.0
2015,HR,KM,1310.0
2015,HR,KM_TKM2,47.0
2015,HU,KM,1622.0
2015,HU,KM_TKM2,96.0
2015,IE,KM,917.0
2015,IT,KM,6943.0
2015,IT,KM_TKM2,491.0
2015,LI,KM,0.0
2015,LI,KM_TKM2,0.0
2015,LU,KM,161.0
2015,LU,KM_TKM2,62.0
2015,LV,KM,0.0
2015,LV,KM_TKM2,0.0
2015,MT,KM,0.0
2015,MT,KM_TKM2,0.0
2015,NL,KM,2731.0
2015,NL,KM_TKM2,971.0
2015,NO,KM,506.0
2015,NO,KM_TKM2,47.0
2015,PL,KM,1493.0
2015,PL,KM_TKM2,71.0
2015,PT,KM,0.0
2015,PT,KM_TKM2,0.0
2015,RO,KM,747.0
2015,RO,KM_TKM2,64.0
2015,SE,KM,2118.0
2015,SE,KM_TKM2,115.0
2015,SI,KM,610.0
2015,SI,KM_TKM2,64.0
2015,SK,KM,464.0
2015,SK,KM_TKM2,76.0
2015,TR,KM,2282.0
2015,TR,KM_TKM2,151.0
