Country,Year,ModalSplit_VehicleType,ModalSplit_ModalSplitKm,ModalTransportToGDP_GDP,RailwayLength_RailwayLengthKm,RailwayTransport_RailwayTransportKm,AirTransport_AirTransportKm,MotorwayNetwork_Unit,MotorwayNetwork_MotorwayLengthKm,RailwayNetwork_RailwayLengthKm,RoadTrafficDeaths_TypeOfRoad,RoadTrafficDeaths_Unit,RoadTrafficDeaths_RoadTrafficDeaths,MotorwayLength_TypeOfRoad,MotorwayLength_LengthOfMotorways
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM,437.0,4324.0,RD_URB,NR,312.0,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM,437.0,4324.0,RD_URB,RT,4.2,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM,437.0,4324.0,TOTAL,NR,776.0,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM,437.0,4324.0,TOTAL,RT,10.5,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,MWAY,NR,37.0,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,MWAY,RT,0.5,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,RD_RUR,NR,427.0,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,RD_RUR,RT,5.8,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,RD_URB,NR,312.0,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,RD_URB,RT,4.2,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,TOTAL,NR,776.0,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,TOTAL,RT,10.5,MWAY,437.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,MWAY,NR,36.0,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,MWAY,NR,36.0,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,MWAY,RT,0.5,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,MWAY,RT,0.5,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,RD_RUR,NR,385.0,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,RD_RUR,NR,385.0,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,RD_RUR,RT,5.2,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,RD_RUR,RT,5.2,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,RD_URB,NR,235.0,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,RD_URB,NR,235.0,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,RD_URB,RT,3.2,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,RD_URB,RT,3.2,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,TOTAL,NR,656.0,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,TOTAL,NR,656.0,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,TOTAL,RT,8.9,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM,458.0,4296.0,TOTAL,RT,8.9,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,MWAY,NR,36.0,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,MWAY,NR,36.0,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,MWAY,RT,0.5,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,MWAY,RT,0.5,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,RD_RUR,NR,385.0,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,RD_RUR,NR,385.0,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,RD_RUR,RT,5.2,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,RD_RUR,RT,5.2,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,RD_URB,NR,235.0,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,RD_URB,NR,235.0,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,RD_URB,RT,3.2,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,RD_URB,RT,3.2,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,TOTAL,NR,656.0,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,TOTAL,NR,656.0,RD_EUR,2977.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,TOTAL,RT,8.9,MWAY,458.0
BG,2011,BUS_TOT,15.9,99.3,4072.0,2059.0,6652007.0,KM_TKM2,23.0,4296.0,TOTAL,RT,8.9,RD_EUR,2977.0
