Unit,Location,Year,Count
NR,BG,2010,1490886
NR,CH,2010,1462210
NR,CH,2010,1741923
NR,CH,2010,1060753
NR,CH,2010,1351297
NR,CH,2010,1094202
NR,CH,2010,739701
NR,CH,2010,335720
NR,CY,2010,819140
NR,CZ,2010,1227932
NR,CZ,2010,1247330
NR,CZ,2010,1205834
NR,CZ,2010,1133425
NR,CZ,2010,1506467
NR,CZ,2010,1671993
NR,CZ,2010,1229931
NR,CZ,2010,1239176
NR,DE,2010,4000848
NR,DE,2010,2740503
NR,DE,2010,2196018
NR,DE,2010,1807552
NR,DE,2010,4346465
NR,DE,2010,1189194
NR,DE,2010,1081417
NR,DE,2010,1076400
NR,DE,2010,1710145
NR,DE,2010,1321957
NR,DE,2010,1784753
NR,DE,2010,3442675
NR,DE,2010,2511525
NR,DE,2010,661716
NR,DE,2010,1774224
NR,DE,2010,3792941
NR,DE,2010,1044269
NR,DE,2010,1224741
NR,DE,2010,1651216
NR,DE,2010,1616720
NR,DE,2010,2142440
NR,DE,2010,1693654
NR,DE,2010,2476001
NR,DE,2010,5172839
NR,DE,2010,4383044
NR,DE,2010,2597636
NR,DE,2010,2043212
NR,DE,2010,3676032
NR,DE,2010,1490711
NR,DE,2010,513794
NR,DE,2010,2008170
NR,DE,2010,1022585
NR,DE,2010,1631486
NR,DE,2010,
NR,DE,2010,
NR,DE,2010,2356219
NR,DE,2010,2832027
NR,DE,2010,2249882
NR,DK,2010,1680271
NR,DK,2010,820564
NR,DK,2010,1200277
NR,DK,2010,1253998
NR,DK,2010,579628
NR,EE,2010,1333290
NR,EL,2010,4002871
NR,EL,2010,200179
NR,EL,2010,332652
NR,EL,2010,623113
NR,EL,2010,610112
NR,EL,2010,1921906
NR,EL,2010,286450
NR,EL,2010,345960
NR,EL,2010,746976
NR,EL,2010,208675
NR,EL,2010,692269
NR,EL,2010,559655
NR,EL,2010,588471
NR,ES,2010,2772466
NR,ES,2010,1077102
NR,ES,2010,588512
NR,ES,2010,2179521
NR,ES,2010,633023
NR,ES,2010,319934
NR,ES,2010,1344181
NR,ES,2010,6373546
NR,ES,2010,2547401
NR,ES,2010,2084468
NR,ES,2010,1099610
NR,ES,2010,7463488
NR,ES,2010,4989631
NR,ES,2010,1083679
NR,ES,2010,8276008
NR,ES,2010,1453543
NR,ES,2010,79294
NR,ES,2010,76049
NR,ES,2010,2045163
NR,FI,2010,1355168
NR,FI,2010,1517542
NR,FI,2010,1153839
NR,FI,2010,1297144
NR,FI,2010,27734
NR,FR,2010,11786234
NR,FR,2010,2548065
NR,FR,2010,1642115
NR,FR,2010,1171763
NR,FR,2010,1473494
NR,FR,2010,1836954
NR,FR,2010,4038157
NR,FR,2010,1914844
NR,FR,2010,1845687
NR,FR,2010,1335923
NR,FR,2010,2350920
NR,FR,2010,3571495
NR,FR,2010,3199066
NR,FR,2010,3232352
NR,FR,2010,742771
NR,FR,2010,1770363
NR,FR,2010,2636350
NR,FR,2010,2881756
NR,FR,2010,1347387
NR,FR,2010,6230691
NR,FR,2010,4899155
NR,FR,2010,309693
NR,FR,2010,
NR,FR,2010,
NR,FR,2010,394173
NR,FR,2010,229040
NR,FR,2010,821136
NR,FR,2010,
NR,HR,2010,1415971
NR,HR,2010,2886876
NR,HU,2010,1721556
NR,HU,2010,1229880
NR,HU,2010,1098654
NR,HU,2010,996390
NR,HU,2010,947986
NR,HU,2010,1209142
NR,HU,2010,1492502
NR,HU,2010,1318214
NR,HU,2010,0
NR,IE,2010,
NR,IE,2010,
NR,IE,2010,
NR,IS,2010,317630
NR,IT,2010,4362041
NR,IT,2010,126686
NR,IT,2010,1576443
NR,IT,2010,9600951
NR,IT,2010,1307778
NR,IT,2010,315536
NR,IT,2010,5758375
NR,IT,2010,4048007
NR,IT,2010,581140
NR,IT,2010,1966336
NR,IT,2010,4997429
NR,IT,2010,1641347
NR,IT,2010,498315
NR,IT,2010,518796
NR,IT,2010,4841933
NR,IT,2010,1221569
NR,IT,2010,4306684
NR,IT,2010,3657340
NR,IT,2010,880202
NR,IT,2010,1540272
NR,IT,2010,5442963
NR,LI,2010,35894
NR,LT,2010,824193
NR,LT,2010,2317783
NR,LU,2010,502066
NR,LV,2010,2120504
NR,ME,2010,619001
NR,MK,2010,2052722
NR,MK,2010,
NR,MT,2010,414027
NR,NL,2010,576668
NR,NL,2010,646305
NR,NL,2010,490981
NR,NL,2010,1130345
NR,NL,2010,1998936
NR,NL,2010,387881
NR,NL,2010,1220910
NR,NL,2010,2669084
NR,NL,2010,3505611
NR,NL,2010,381409
NR,NL,2010,2444158
NR,NL,2010,1122701
NR,NO,2010,1123359
NR,NO,2010,375925
NR,NO,2010,928852
NR,NO,2010,706823
NR,NO,2010,835517
NR,NO,2010,422102
NR,NO,2010,465621
NR,PL,2010,3280603
NR,PL,2010,4590630
NR,PL,2010,3410721
NR,PL,2010,1696985
NR,PL,2010,1009605
NR,PL,2010,2876509
NR,PL,2010,975283
NR,PL,2010,2074489
NR,PL,2010,1428496
NR,PL,2010,2234955
NR,PL,2010,
NR,PL,2010,
NR,PL,2010,
NR,PL,2010,
NR,PL,2010,
NR,PL,2010,
NR,PL,2010,
NR,PT,2010,3705980
NR,PT,2010,445824
NR,PT,2010,2337787
NR,PT,2010,2808205
NR,PT,2010,762068
NR,PT,2010,246900
NR,PT,2010,266715
NR,RO,2010,2719719
NR,RO,2010,2524418
NR,RO,2010,3712396
NR,RO,2010,2811218
NR,RO,2010,3267270
NR,RO,2010,2261698
NR,RO,2010,2246033
NR,RO,2010,1919434
NR,RS,2010,
NR,RS,2010,
NR,RS,2010,
NR,RS,2010,
NR,SE,2010,2019182
NR,SE,2010,1558292
NR,SE,2010,810066
NR,SE,2010,1383653
NR,SE,2010,1866283
NR,SE,2010,825931
NR,SE,2010,369708
NR,SE,2010,507567
NR,SI,2010,1099674
NR,SI,2010,947302
NR,SK,2010,597999
NR,SK,2010,1842763
NR,SK,2010,1350286
NR,SK,2010,1599362
NR,TR,2010,12915158
NR,TR,2010,1511952
NR,TR,2010,1617820
NR,TR,2010,3868308
NR,TR,2010,2707898
NR,TR,2010,2940947
NR,TR,2010,3508133
NR,TR,2010,3193210
NR,TR,2010,4650802
NR,TR,2010,2224547
NR,TR,2010,2592075
NR,TR,2010,3703114
NR,TR,2010,2957713
NR,TR,2010,1504789
NR,TR,2010,2326584
NR,TR,2010,1026825
NR,TR,2010,745976
NR,TR,2010,2739487
NR,TR,2010,2526619
NR,TR,2010,1062205
NR,TR,2010,1135856
NR,TR,2010,1626357
NR,TR,2010,2012044
NR,TR,2010,2364249
NR,TR,2010,3128748
NR,TR,2010,1969896
NR,UK,2010,1168781
NR,UK,2010,1412315
NR,UK,2010,500458
NR,UK,2010,2651011
NR,UK,2010,1455120
NR,UK,2010,898513
NR,UK,2010,1498042
NR,UK,2010,914144
NR,UK,2010,791442
NR,UK,2010,1328405
NR,UK,2010,2205139
NR,UK,2010,2090780
NR,UK,2010,1689857
NR,UK,2010,708733
NR,UK,2010,1288952
NR,UK,2010,1558437
NR,UK,2010,2699492
NR,UK,2010,2361712
NR,UK,2010,1706697
NR,UK,2010,1711120
NR,UK,2010,1081014
NR,UK,2010,2076113
NR,UK,2010,1720016
NR,UK,2010,1208538
NR,UK,2010,1916940
NR,UK,2010,2242650
NR,UK,2010,2709001
NR,UK,2010,1877812
NR,UK,2010,1705146
NR,UK,2010,2324183
NR,UK,2010,1261896
NR,UK,2010,530325
NR,UK,2010,1127629
NR,UK,2010,1924712
NR,UK,2010,1119494
NR,UK,2010,468596
NR,UK,2010,463388
NR,UK,2010,
NR,UK,2010,
NR,UK,2010,
NR,UK,2010,1799019
NR,AL,2011,
NR,AL,2011,
NR,AL,2011,
NR,AL,2011,
NR,AT,2011,284581
NR,AT,2011,1609474
NR,AT,2011,1702855
NR,AT,2011,556718
NR,AT,2011,1206611
NR,AT,2011,1410222
NR,AT,2011,527886
NR,AT,2011,707517
NR,AT,2011,369300
NR,BE,2011,1136778
NR,BE,2011,1773267
NR,BE,2011,846851
NR,BE,2011,1448928
NR,BE,2011,1088692
NR,BE,2011,1168002
NR,BE,2011,383648
NR,BE,2011,1319745
NR,BE,2011,1082136
NR,BE,2011,273205
NR,BE,2011,479386
NR,BG,2011,848230
NR,BG,2011,862120
NR,BG,2011,966328
NR,BG,2011,1078597
NR,BG,2011,2133731
NR,BG,2011,1480425
NR,CH,2011,1483680
NR,CH,2011,1755696
NR,CH,2011,1070820
NR,CH,2011,1373068
NR,CH,2011,1103641
NR,CH,2011,749476
NR,CH,2011,333753
NR,CY,2011,839751
NR,CZ,2011,1234037
NR,CZ,2011,1264986
NR,CZ,2011,1207027
NR,CZ,2011,1132252
NR,CZ,2011,1508735
NR,CZ,2011,1675872
NR,CZ,2011,1229117
