,Unit,Age,Sex,Location,2020,2020_status,2019,2019_status,2018,2018_status,2017,2017_status,2016,2016_status,2015,2015_status,2014,2014_status,2013,2013_status,2012,2012_status,2011,2011_status,2010,2010_status,2009,2009_status
20,NR,TOTAL,T,BE,375645,ok,379515,ok,383648,b,386683,b,389308,ok,391609,b,394344,ok,397745,ok,399735,ok,401508,ok,404270,ok,406794,ok
21,NR,TOTAL,T,BE,1304436,ok,1309880,ok,1319745,b,1325819,b,1331455,ok,1334423,b,1337780,ok,1341267,ok,1342053,ok,1343756,ok,1346082,ok,1350295,ok
22,NR,TOTAL,T,BE,1060035,ok,1067685,ok,1082136,b,1088074,b,1093191,ok,1095661,b,1098903,ok,1103490,ok,1106039,ok,1108371,ok,1110068,ok,1113943,ok
23,NR,TOTAL,T,BE,266950,ok,269023,ok,273205,b,275713,b,277690,ok,278219,b,280261,ok,283257,ok,284617,ok,285010,ok,286685,ok,289606,ok
24,NR,TOTAL,T,BE,468605,ok,472281,ok,479386,b,482728,b,484880,ok,486230,b,488876,ok,492074,ok,494127,ok,495158,ok,496891,ok,499433,ok
25,NR,TOTAL,T,BG,881573,ok,865332,ok,848230,ok,836601,ok,823469,ok,810401,ok,797142,ok,783909,ok,769623,ok,755956,ok,742304,ok,728157,ok
26,NR,TOTAL,T,BG,884857,ok,873801,ok,862120,ok,853468,ok,844511,ok,835813,ok,825536,ok,815441,ok,805441,ok,794998,ok,784168,ok,773450,ok
27,NR,TOTAL,T,BG,976062,ok,971932,ok,966328,ok,961965,ok,957460,ok,954536,ok,949957,ok,944458,ok,939262,ok,933705,ok,929035,ok,924870,ok
28,NR,TOTAL,T,BG,1094253,ok,1087181,ok,1078597,ok,1072850,ok,1067981,ok,1063690,ok,1058515,ok,1052575,ok,1046125,ok,1039549,ok,1032079,ok,1024115,ok
29,NR,TOTAL,T,BG,2129855,ok,2132634,ok,2133731,ok,2131233,ok,2128783,ok,2127618,ok,2125212,ok,2121185,ok,2115344,ok,2108394,ok,2102205,ok,2094260,ok
30,NR,TOTAL,T,BG,1500519,ok,1490886,ok,1480425,ok,1471107,ok,1462348,ok,1453619,ok,1445836,ok,1436216,ok,1426064,ok,1417432,ok,1410248,ok,1406630,ok
31,NR,TOTAL,T,CH,1437592,ok,1462210,ok,1483680,b,1503500,ok,1519189,ok,1545817,ok,1570594,ok,1593839,ok,1613522,ok,1629841,ok,1642580,ok,1654751,ok
32,NR,TOTAL,T,CH,1730412,ok,1741923,ok,1755696,b,1770429,ok,1788791,ok,1808480,ok,1826251,ok,1842251,ok,1859557,ok,1868886,ok,1877154,ok,1886584,ok
33,NR,TOTAL,T,CH,1049518,ok,1060753,ok,1070820,b,1079913,ok,1091302,ok,1104353,ok,1117158,ok,1128723,ok,1142156,ok,1151919,ok,1161105,ok,1171157,ok
34,NR,TOTAL,T,CH,1332727,ok,1351297,ok,1373068,b,1392396,ok,1408575,ok,1425538,ok,1446354,ok,1466424,ok,1487969,ok,1504346,ok,1520968,ok,1539275,ok
35,NR,TOTAL,T,CH,1085698,ok,1094202,ok,1103641,b,1113929,ok,1123672,ok,1134781,ok,1144572,ok,1153485,ok,1162684,ok,1169358,ok,1176321,ok,1183813,ok
36,NR,TOTAL,T,CH,733173,ok,739701,ok,749476,b,757552,ok,765879,ok,774123,ok,782374,ok,790458,ok,799287,ok,806071,ok,813056,ok,818962,ok
37,NR,TOTAL,T,CH,332736,ok,335720,ok,333753,b,336943,ok,341652,ok,346539,ok,350363,ok,351946,ok,354375,ok,353709,ok,353343,ok,351491,ok
38,NR,TOTAL,T,CY,796930,ok,819140,b,839751,ok,862011,ok,865878,ok,858000,ok,847008,ok,848319,ok,854802,ok,864236,ok,875899,ok,888005,ok
39,NR,TOTAL,T,CZ,1214300,ok,1227932,ok,1234037,ok,1241664,ok,1246780,ok,1243201,ok,1259079,ok,1267449,ok,1280508,ok,1294513,ok,1308632,ok,1324277,ok
40,NR,TOTAL,T,CZ,1230405,ok,1247330,ok,1264986,ok,1279345,ok,1291816,ok,1302336,ok,1315299,ok,1326876,ok,1338982,ok,1352795,ok,1369332,ok,1385141,ok
41,NR,TOTAL,T,CZ,1202477,ok,1205834,ok,1207027,ok,1207847,ok,1209298,ok,1210176,ok,1212423,ok,1214450,ok,1217411,ok,1221012,ok,1226805,ok,1233982,ok
42,NR,TOTAL,T,CZ,1134887,ok,1133425,ok,1132252,ok,1131191,ok,1128490,ok,1125429,ok,1123265,ok,1120654,ok,1118126,ok,1116766,ok,1115685,ok,1115629,ok
43,NR,TOTAL,T,CZ,1503865,ok,1506467,ok,1508735,ok,1508867,ok,1507980,ok,1506503,ok,1506813,ok,1507209,ok,1508527,ok,1510726,ok,1513693,ok,1517999,ok
44,NR,TOTAL,T,CZ,1666778,ok,1671993,ok,1675872,ok,1678250,ok,1679857,ok,1680287,ok,1682748,ok,1684500,ok,1687764,ok,1692123,ok,1696941,ok,1701802,ok
45,NR,TOTAL,T,CZ,1230437,ok,1229931,ok,1229117,ok,1227668,ok,1225302,ok,1222655,ok,1220972,ok,1219394,ok,1217623,ok,1216234,ok,1215413,ok,1214570,ok
46,NR,TOTAL,T,CZ,1242634,ok,1239176,ok,1234705,ok,1230613,ok,1226602,ok,1221832,ok,1217676,ok,1213311,ok,1209879,ok,1205886,ok,1203299,ok,1200539,ok
85,NR,TOTAL,T,DK,1662285,ok,1680271,ok,1699387,ok,1714589,ok,1732068,ok,1749405,ok,1768125,ok,1789174,ok,1807404,ok,1822659,ok,1835562,ok,1846023,ok
86,NR,TOTAL,T,DK,821252,ok,820564,ok,819763,ok,817907,ok,816359,ok,816726,ok,820480,ok,827499,ok,832553,ok,835024,ok,836738,ok,837359,ok
87,NR,TOTAL,T,DK,1199667,ok,1200277,ok,1200656,ok,1201342,ok,1201419,ok,1202509,ok,1205728,ok,1211770,ok,1217224,ok,1220763,ok,1223348,ok,1223105,ok
88,NR,TOTAL,T,DK,1247732,ok,1253998,ok,1260993,ok,1266682,ok,1272510,ok,1277538,ok,1282750,ok,1293309,ok,1304253,ok,1313596,ok,1320678,ok,1326340,ok
89,NR,TOTAL,T,DK,580515,ok,579628,ok,579829,ok,579996,ok,580272,ok,581057,ok,582632,ok,585499,ok,587335,ok,589148,ok,589755,ok,589936,ok
90,NR,TOTAL,T,EE,1335740,ok,1333290,ok,1329660,ok,1325217,ok,1320174,ok,1315819,ok,1314870,b,1315944,ok,1315635,ok,1319133,ok,1324820,ok,1328976,ok
91,NR,TOTAL,T,EL,3999457,ok,4002871,ok,3992912,ok,3963887,ok,3912849,ok,3863763,ok,3822843,ok,3781274,ok,3773559,ok,3756453,ok,3742235,ok,3738901,ok
92,NR,TOTAL,T,EL,199517,ok,200179,ok,200831,ok,200591,ok,199478,ok,198581,ok,197695,ok,196654,ok,203700,ok,211137,ok,221098,ok,229516,ok
93,NR,TOTAL,T,EL,331815,ok,332652,ok,333983,ok,334780,ok,334652,ok,334802,ok,334865,ok,334791,ok,338383,ok,340870,ok,344027,ok,347512,ok
94,NR,TOTAL,T,EL,618317,ok,623113,ok,627144,ok,629367,ok,630085,ok,630889,ok,631513,ok,631812,ok,632674,ok,633506,ok,634930,ok,636504,ok
95,NR,TOTAL,T,EL,608639,ok,610112,ok,611573,ok,612074,ok,610102,ok,608214,ok,606490,ok,604504,ok,602799,ok,601175,ok,599723,ok,598613,ok
96,NR,TOTAL,T,EL,1913980,ok,1921906,ok,1925437,ok,1922590,ok,1912624,ok,1903360,ok,1893878,ok,1883339,ok,1880122,ok,1875996,ok,1873777,ok,1872102,ok
97,NR,TOTAL,T,EL,286672,ok,286450,ok,285899,ok,284061,ok,281324,ok,278706,ok,276423,ok,273843,ok,271488,ok,269222,ok,267008,ok,264670,ok
98,NR,TOTAL,T,EL,345167,ok,345960,ok,346503,ok,345437,ok,343128,ok,341046,ok,339142,ok,336834,ok,335250,ok,334337,ok,333696,ok,333265,ok
99,NR,TOTAL,T,EL,745569,ok,746976,ok,747690,ok,745839,ok,741593,ok,737686,ok,733663,ok,729442,ok,725874,ok,722065,ok,718640,ok,715115,ok
100,NR,TOTAL,T,EL,208161,ok,208675,ok,209221,ok,209131,ok,208241,ok,207664,ok,207059,ok,206141,ok,205431,ok,204562,ok,203869,ok,203149,ok
101,NR,TOTAL,T,EL,692990,ok,692269,ok,690904,ok,687935,ok,682583,ok,677727,ok,673263,ok,668258,ok,663970,ok,659470,ok,655189,ok,651065,ok
102,NR,TOTAL,T,EL,557291,ok,559655,ok,561693,ok,561670,ok,560093,ok,559214,ok,557753,ok,555830,ok,555761,ok,555623,ok,555960,ok,556002,ok
103,NR,TOTAL,T,EL,587170,ok,588471,ok,589602,ok,589044,ok,586863,ok,585155,ok,583431,ok,581026,ok,579182,ok,576749,ok,574447,ok,572151,ok
104,NR,TOTAL,T,ES,2767469,ok,2772466,ok,2773411,ok,2771916,ok,2761989,ok,2747226,ok,2734656,ok,2720102,ok,2710216,ok,2703149,ok,2700441,ok,2702592,ok
105,NR,TOTAL,T,ES,1076276,ok,1077102,ok,1075869,ok,1074308,ok,1067797,ok,1058975,ok,1049875,ok,1040925,ok,1034302,ok,1027624,ok,1022205,ok,1018899,ok
106,NR,TOTAL,T,ES,584657,ok,588512,ok,590867,ok,592383,ok,590036,ok,587682,ok,585359,ok,582504,ok,581490,ok,581294,ok,581641,ok,582388,ok
107,NR,TOTAL,T,ES,2174077,ok,2179521,ok,2183136,ok,2184696,ok,2177006,ok,2167166,ok,2165100,ok,2164066,ok,2167323,ok,2170868,ok,2177880,ok,2189138,ok
108,NR,TOTAL,T,ES,627286,ok,633023,ok,637100,ok,640014,ok,638948,ok,636450,ok,636402,ok,637486,ok,640353,ok,643866,ok,649946,ok,656509,ok
109,NR,TOTAL,T,ES,319788,ok,319934,ok,320858,ok,320951,ok,318647,ok,315223,ok,313569,ok,312810,ok,312624,ok,312884,ok,313571,ok,315931,ok
110,NR,TOTAL,T,ES,1342788,ok,1344181,ok,1344385,ok,1343807,ok,1338316,ok,1331301,ok,1326403,ok,1318571,ok,1316072,ok,1313135,ok,1320586,ok,1330333,ok
111,NR,TOTAL,T,ES,6327559,ok,6373546,ok,6394252,ok,6425522,ok,6414620,ok,6378297,ok,6385298,ok,6424275,ok,6476838,ok,6549520,ok,6641649,ok,6747068,ok
112,NR,TOTAL,T,ES,2549172,ok,2547401,ok,2545301,ok,2537685,ok,2518560,ok,2495689,ok,2478079,ok,2454454,ok,2435951,ok,2418556,ok,2407733,ok,2401307,ok
113,NR,TOTAL,T,ES,2066428,ok,2084468,ok,2099064,ok,2105935,ok,2094406,ok,2075197,ok,2062767,ok,2048900,ok,2040977,ok,2032595,ok,2034877,ok,2045554,ok
114,NR,TOTAL,T,ES,1094693,ok,1099610,ok,1102299,ok,1104336,ok,1100970,ok,1096421,ok,1091623,ok,1084969,ok,1077525,ok,1070453,ok,1065424,ok,1061979,ok
115,NR,TOTAL,T,ES,7427092,ok,7463488,ok,7493263,ok,7514991,ok,7480921,ok,7416237,ok,7396991,ok,7408290,ok,7441284,ok,7488718,ok,7566431,ok,7652348,ok
116,NR,TOTAL,T,ES,4981284,ok,4989631,ok,4999192,ok,5009650,ok,4987011,ok,4956427,ok,4939674,ok,4932347,ok,4935182,ok,4946233,ok,4974969,ok,5029341,ok
117,NR,TOTAL,T,ES,1070167,ok,1083679,ok,1091664,ok,1100715,ok,1110112,ok,1115841,ok,1124972,ok,1135527,ok,1150962,ok,1166923,ok,1188220,ok,1210725,ok
118,NR,TOTAL,T,ES,8212968,ok,8276008,ok,8332080,ok,8377810,ok,8393175,ok,8388875,ok,8399618,ok,8403774,ok,8408976,ok,8410095,ok,8427405,ok,8478083,ok
119,NR,TOTAL,T,ES,1441787,ok,1453543,ok,1459075,ok,1461925,ok,1461983,ok,1461803,ok,1463773,ok,1466474,ok,1472991,ok,1475569,ok,1487663,ok,1504869,ok
120,NR,TOTAL,T,ES,76927,ok,79294,ok,81621,ok,83845,ok,84539,ok,84674,ok,84692,ok,84652,ok,85034,ok,85209,ok,84829,ok,84085,ok
121,NR,TOTAL,T,ES,73365,ok,76049,ok,78866,ok,81792,ok,83620,ok,83870,ok,84570,ok,84764,ok,84946,ok,84708,ok,84689,ok,84473,ok
122,NR,TOTAL,T,ES,2025490,ok,2045163,ok,2064871,ok,2085938,ok,2105234,ok,2114845,ok,2126144,ok,2135209,ok,2154978,ok,2177048,ok,2206901,ok,2236992,ok
123,NR,TOTAL,T,FI,1349600,ok,1355168,ok,1360041,ok,1365259,ok,1370384,ok,1374403,ok,1377281,ok,1379116,ok,1380593,ok,1380365,ok,1379749,ok,1378652,ok
124,NR,TOTAL,T,FI,1501511,ok,1517542,ok,1532309,ok,1549058,ok,1566835,ok,1585473,ok,1603388,ok,1620261,ok,1638293,ok,1655624,ok,1671024,ok,1689725,ok
125,NR,TOTAL,T,FI,1151466,ok,1153839,ok,1156791,ok,1159039,ok,1160732,ok,1161882,ok,1161706,ok,1160491,ok,1159174,ok,1157001,ok,1152719,ok,1148794,ok
126,NR,TOTAL,T,FI,1296281,ok,1297144,ok,1298128,ok,1299557,ok,1300222,ok,1300846,ok,1300462,ok,1298457,ok,1296023,ok,1290651,ok,1284638,ok,1278237,ok
127,NR,TOTAL,T,FI,27456,ok,27734,ok,28007,ok,28354,ok,28501,ok,28666,ok,28916,ok,28983,ok,29214,ok,29489,ok,29789,ok,29884,ok
156,NR,TOTAL,T,HR,1415015,ok,1415971,ok,1413426,ok,1410551,ok,1407798,ok,1405908,ok,1402229,ok,1394290,ok,1387363,ok,1378339,ok,1374071,ok,1373802,ok
157,NR,TOTAL,T,HR,2894781,ok,2886876,ok,2876431,ok,2865433,ok,2854342,ok,2840901,ok,2823087,ok,2796379,ok,2766850,ok,2727154,ok,2702175,ok,2684363,ok
158,NR,TOTAL,T,HU,1712210,ok,1721556,ok,1733685,ok,1727495,b,1735711,ok,1744665,ok,1757618,ok,1759407,ok,1752704,ok,1749734,ok,1752286,ok,1750216,ok
159,NR,TOTAL,T,HU,1213290,ok,1229880,ok,1237561,ok,1213323,b,1218172,ok,1220748,ok,1226115,ok,1234541,ok,1247372,ok,1261864,ok,1278874,ok,1297102,ok
160,NR,TOTAL,T,HU,1103132,ok,1098654,ok,1094104,ok,1079589,b,1074702,ok,1069190,ok,1063408,ok,1060703,ok,1056097,ok,1055570,ok,1058236,ok,1060755,ok
161,NR,TOTAL,T,HU,998187,ok,996390,ok,994698,ok,984399,b,985279,ok,984521,ok,983925,ok,983933,ok,983251,ok,985457,ok,989343,ok,994549,ok
162,NR,TOTAL,T,HU,952982,ok,947986,ok,940585,ok,931215,b,925180,ok,917492,ok,909130,ok,900868,ok,894223,ok,886840,ok,879596,ok,874573,ok
163,NR,TOTAL,T,HU,1223238,ok,1209142,ok,1194697,ok,1200831,b,1189441,ok,1176894,ok,1164813,ok,1153714,ok,1143902,ok,1134945,ok,1126360,ok,1118577,ok
164,NR,TOTAL,T,HU,1502409,ok,1492502,ok,1481922,ok,1498795,b,1491659,ok,1484375,ok,1479522,ok,1474383,ok,1468088,ok,1460096,ok,1450960,ok,1442660,ok
165,NR,TOTAL,T,HU,1325527,ok,1318214,ok,1308470,ok,1296278,b,1288654,ok,1279480,ok,1271040,ok,1262936,ok,1251924,ok,1243865,ok,1237101,ok,1231094,ok
166,NR,TOTAL,T,HU,0,ok,0,ok,0,ok,0,ok,0,ok,0,ok,0,ok,0,ok,0,ok,0,ok,0,ok,0,ok
170,NR,TOTAL,T,IS,319368,ok,317630,ok,318452,ok,319575,ok,321857,ok,325671,ok,329100,ok,332529,ok,338349,ok,348450,ok,356991,ok,364134,ok
171,NR,TOTAL,T,IT,4356322,ok,4362041,ok,4364309,ok,4357663,ok,4374052,ok,4436798,ok,4424467,ok,4404246,ok,4392526,ok,4375865,ok,4328565,b,4311217,ok
172,NR,TOTAL,T,IT,126369,ok,126686,ok,126761,ok,126620,ok,127844,ok,128591,ok,128298,ok,127329,ok,126883,ok,126202,ok,125653,b,125034,ok
173,NR,TOTAL,T,IT,1577301,ok,1576443,ok,1574132,ok,1567339,ok,1565127,ok,1591939,ok,1583263,ok,1571053,ok,1565307,ok,1556981,ok,1532980,b,1524826,ok
174,NR,TOTAL,T,IT,9545515,ok,9600951,ok,9663872,ok,9700881,ok,9794525,ok,9973397,ok,10002615,ok,10008349,ok,10019166,ok,10036258,ok,10010833,b,10027602,ok
175,NR,TOTAL,T,IT,1306029,ok,1307778,ok,1307273,ok,1306416,ok,1312507,ok,1333939,ok,1331574,ok,1326513,ok,1322247,ok,1315196,ok,1300645,b,1293941,ok
176,NR,TOTAL,T,IT,316955,ok,315536,ok,314342,ok,313145,ok,313341,ok,314725,ok,313348,ok,312027,ok,310449,ok,308493,ok,303790,b,300516,ok
177,NR,TOTAL,T,IT,5750382,ok,5758375,ok,5765850,ok,5764424,ok,5769750,ok,5869965,ok,5861529,ok,5850850,ok,5839084,ok,5826860,ok,5740291,b,5712143,ok
178,NR,TOTAL,T,IT,4043827,ok,4048007,ok,4053668,ok,4050072,ok,4050803,ok,4090266,ok,4090105,ok,4077166,ok,4063888,ok,4048242,ok,3975528,b,3953305,ok
179,NR,TOTAL,T,IT,583556,ok,581140,ok,579358,ok,577562,ok,576194,ok,578391,ok,576619,ok,573694,ok,570365,ok,567118,ok,558587,b,553254,ok
180,NR,TOTAL,T,IT,1970780,ok,1966336,ok,1962856,ok,1958418,ok,1958238,ok,1980533,ok,1976631,ok,1970521,ok,1965128,ok,1956687,ok,1912021,b,1894110,ok
181,NR,TOTAL,T,IT,4990588,ok,4997429,ok,5005657,ok,4999854,ok,4999932,ok,5094937,ok,5092080,ok,5074261,ok,5056641,ok,5026989,ok,4908548,b,4875290,ok
182,NR,TOTAL,T,IT,1642583,ok,1641347,ok,1641681,ok,1637846,ok,1640379,ok,1663859,ok,1663286,ok,1658138,ok,1653135,ok,1648176,ok,1622257,b,1611621,ok
183,NR,TOTAL,T,IT,494559,ok,498315,ok,501815,ok,504708,ok,509626,ok,515714,ok,518518,ok,520891,ok,524256,ok,527750,ok,530313,b,532644,ok
184,NR,TOTAL,T,IT,514881,ok,518796,ok,522486,ok,524877,ok,530308,ok,536237,ok,537416,ok,538223,ok,538604,ok,539898,ok,543721,b,545425,ok
185,NR,TOTAL,T,IT,4827619,ok,4841933,ok,4851958,ok,4853657,ok,4881756,ok,4926818,ok,4927596,ok,4915123,ok,4907529,ok,4905037,ok,4884590,b,4879133,ok
186,NR,TOTAL,T,IT,1221392,ok,1221569,ok,1220849,ok,1217780,ok,1221860,ok,1229363,ok,1227122,ok,1221218,ok,1217872,ok,1215538,ok,1210414,b,1206216,ok
187,NR,TOTAL,T,IT,4277139,ok,4306684,ok,4331343,ok,4341240,ok,4377487,ok,4446354,ok,4450508,ok,4448146,ok,4448841,ok,4452629,ok,4459453,b,4464119,ok
188,NR,TOTAL,T,IT,3641389,ok,3657340,ok,3668948,ok,3667780,ok,3692828,ok,3750511,ok,3752654,ok,3744398,ok,3742437,ok,3736968,ok,3701343,b,3692555,ok
189,NR,TOTAL,T,IT,875261,ok,880202,ok,884010,ok,883215,ok,886239,ok,896742,ok,894762,ok,891181,ok,888908,ok,884640,ok,873744,b,870165,ok
190,NR,TOTAL,T,IT,1536302,ok,1540272,ok,1541950,ok,1540688,ok,1545155,ok,1553138,ok,1550796,ok,1543752,ok,1538055,ok,1531753,ok,1520321,b,1512672,ok
191,NR,TOTAL,T,IT,5401837,ok,5442963,ok,5481572,ok,5500022,ok,5557276,ok,5870451,ok,5892425,ok,5888472,ok,5898124,ok,5896693,ok,5773076,b,5755700,ok
192,NR,TOTAL,T,LI,35589,ok,35894,ok,36149,ok,36475,ok,36838,ok,37129,ok,37366,ok,37622,ok,37810,ok,38114,ok,38378,ok,38747,ok
193,NR,TOTAL,T,LT,826445,ok,824193,ok,811515,ok,805915,ok,806308,ok,806106,ok,807523,ok,805380,ok,805173,ok,805367,ok,810538,ok,820511,ok
194,NR,TOTAL,T,LT,2357411,ok,2317783,ok,2241073,ok,2197726,ok,2165597,ok,2137366,ok,2113739,ok,2083178,ok,2042731,ok,2003534,ok,1983646,ok,1973579,ok
195,NR,TOTAL,T,LU,493500,ok,502066,ok,511840,ok,524853,ok,537039,ok,549680,ok,562958,ok,576249,ok,590667,b,602005,ok,613894,ok,626108,ok
196,NR,TOTAL,T,LV,2162834,ok,2120504,ok,2074605,ok,2044813,ok,2023825,ok,2001468,ok,1986096,ok,1968957,ok,1950116,ok,1934379,ok,1919968,ok,1907675,ok
197,NR,TOTAL,T,ME,617157,ok,619001,ok,619850,ok,620308,ok,620893,ok,621521,ok,622099,ok,622218,ok,622387,ok,622359,ok,622182,ok,621873,ok
200,NR,TOTAL,T,MT,410926,ok,414027,ok,414989,ok,417546,ok,422509,ok,429424,ok,439691,ok,450415,ok,460297,ok,475701,ok,493559,ok,514564,ok
201,NR,TOTAL,T,NL,574092,ok,576668,ok,579036,ok,580875,ok,581705,ok,582728,ok,583942,ok,583721,ok,583581,ok,582944,ok,583990,ok,585866,ok
202,NR,TOTAL,T,NL,644811,ok,646305,ok,647282,ok,647214,ok,646862,ok,646317,ok,646257,ok,646040,ok,646874,ok,647268,ok,647672,ok,649957,ok
203,NR,TOTAL,T,NL,489918,ok,490981,ok,491411,ok,490807,ok,489918,ok,488988,ok,488576,ok,488629,ok,491792,ok,492100,ok,492167,ok,493682,ok
204,NR,TOTAL,T,NL,1125435,ok,1130345,ok,1134465,ok,1137668,ok,1139350,ok,1139697,ok,1140652,ok,1144280,ok,1147687,ok,1151501,ok,1156431,ok,1162406,ok
205,NR,TOTAL,T,NL,1991062,ok,1998936,ok,2004671,ok,2010745,ok,2015791,ok,2019692,ok,2026578,ok,2035351,ok,2047901,ok,2060103,ok,2071972,ok,2085952,ok
206,NR,TOTAL,T,NL,383449,ok,387881,ok,391967,ok,395525,ok,398441,ok,399893,ok,401791,ok,404068,ok,407818,ok,411670,ok,416546,ok,423021,ok
207,NR,TOTAL,T,NL,1210869,ok,1220910,ok,1228794,ok,1237117,ok,1245294,ok,1253672,ok,1263572,ok,1273613,ok,1284504,ok,1295484,ok,1306912,ok,1319231,ok
208,NR,TOTAL,T,NL,2646445,ok,2669084,ok,2691477,ok,2709822,ok,2724300,ok,2741369,ok,2761929,ok,2784854,ok,2809483,ok,2831182,ok,2853359,ok,2879527,ok
209,NR,TOTAL,T,NL,3481558,ok,3505611,ok,3528324,ok,3552407,ok,3563935,ok,3577032,ok,3600011,ok,3622303,ok,3650222,ok,3681044,ok,3709139,ok,3744299,ok
210,NR,TOTAL,T,NL,380984,ok,381409,ok,381530,ok,381407,ok,381077,ok,380621,ok,380726,ok,381252,ok,381568,ok,382304,ok,383032,ok,383488,ok
211,NR,TOTAL,T,NL,2434560,ok,2444158,ok,2454215,ok,2463686,ok,2471011,ok,2479274,ok,2488751,ok,2498749,ok,2512531,ok,2528286,ok,2544806,ok,2562955,ok
212,NR,TOTAL,T,NL,1122604,ok,1122701,ok,1122627,ok,1123075,ok,1121891,ok,1120006,ok,1117941,ok,1116260,ok,1117546,ok,1117198,ok,1116137,ok,1117201,ok
213,NR,TOTAL,T,NO,1103100,ok,1123359,ok,1144883,ok,1169539,ok,1190365,ok,1209992,ok,1232854,ok,1251687,ok,1271127,ok,1287495,ok,1305122,ok,1326682,ok
214,NR,TOTAL,T,NO,374359,ok,375925,ok,377709,ok,379938,ok,380973,ok,382230,ok,383985,ok,384221,ok,385669,ok,386836,ok,386951,ok,387285,ok
215,NR,TOTAL,T,NO,919900,ok,928852,ok,938827,ok,949963,ok,960653,ok,969415,ok,976682,ok,984764,ok,992962,ok,999639,ok,1005070,ok,1011472,ok
216,NR,TOTAL,T,NO,696166,ok,706823,ok,718543,ok,728934,ok,741284,ok,751632,ok,762031,ok,768179,ok,772813,ok,777279,ok,780898,ok,787123,ok
217,NR,TOTAL,T,NO,824865,ok,835517,ok,845886,ok,855399,ok,866239,ok,875475,ok,884316,ok,890719,ok,896503,ok,899627,ok,901689,ok,905335,ok
218,NR,TOTAL,T,NO,417437,ok,422102,ok,426206,ok,431340,ok,437198,ok,441193,ok,445838,ok,449457,ok,454596,ok,458742,ok,462032,ok,465136,ok
219,NR,TOTAL,T,NO,463425,ok,465621,ok,468251,ok,470757,ok,474563,ok,478033,ok,480787,ok,481694,ok,484647,ok,486001,ok,486450,ok,484547,ok
237,NR,TOTAL,T,PT,3712554,ok,3705980,ok,3693585,b,3687224,ok,3666234,ok,3644195,ok,3621785,e,3603778,e,3584575,ok,3576205,ok,3572583,ok,3575338,ok
