Unit,Age,Sex,Location,2009,2009_status,2010,2010_status,2011,2011_status,2012,2012_status,2013,2013_status,2014,2014_status,2015,2015_status,2016,2016_status,2017,2017_status,2018,2018_status,2019,2019_status,2020,2020_status
NR,TOTAL,T,DE,1048683,ok,1044269,ok,1027159,b,1025525,ok,1023277,ok,1023150,ok,1029020,ok,1040091,ok,1043643,ok,1045807,ok,1047262,ok,1048646,ok
NR,TOTAL,T,DE,1231503,ok,1224741,ok,1208050,b,1204635,ok,1201823,ok,1199796,ok,1201050,ok,1213712,ok,1218211,ok,1219405,ok,1219823,ok,1219473,ok
NR,TOTAL,T,DE,1664356,ok,1651216,ok,1614789,b,1606899,ok,1600327,ok,1596505,ok,1599138,ok,1612362,ok,1610674,ok,1611119,ok,1609675,ok,1608138,ok
NR,TOTAL,T,DE,1623649,ok,1616720,ok,1579623,b,1575968,ok,1574527,ok,1574936,ok,1579754,ok,1598164,ok,1595609,ok,1595734,ok,1596396,ok,1594929,ok
NR,TOTAL,T,DE,2149181,ok,2142440,ok,2093945,b,2093431,ok,2094931,ok,2099079,ok,2108413,ok,2132290,ok,2139976,ok,2144120,ok,2149805,ok,2148238,ok
NR,TOTAL,T,DE,1696643,ok,1693654,ok,1669999,b,1667127,ok,1667332,ok,1670199,ok,1677715,ok,1699969,ok,1703945,ok,1706464,ok,1710914,ok,1716448,ok
NR,TOTAL,T,DE,2477771,ok,2476001,ok,2435261,b,2437727,ok,2442205,ok,2446345,ok,2460857,ok,2496176,ok,2506155,ok,2516457,ok,2525333,ok,2533993,ok
NR,TOTAL,T,DE,5191042,ok,5172839,ok,5081231,b,5077103,ok,5081061,ok,5088748,ok,5108290,ok,5173623,ok,5190790,ok,5198820,ok,5202321,ok,5207457,ok
NR,TOTAL,T,DE,4386271,ok,4383044,ok,4282911,b,4299064,ok,4315912,ok,4333015,ok,4361724,ok,4422371,ok,4439416,ok,4454228,ok,4468904,ok,4478847,ok
NR,TOTAL,T,DE,2605365,ok,2597636,ok,2568358,b,2572221,ok,2572390,ok,2574148,ok,2580664,ok,2614229,ok,2619376,ok,2621153,ok,2623619,ok,2624625,ok
NR,TOTAL,T,DE,2050638,ok,2043212,ok,2031337,b,2027126,ok,2025415,ok,2024392,ok,2029648,ok,2057996,ok,2054205,ok,2054343,ok,2055310,ok,2055724,ok
NR,TOTAL,T,DE,3699748,ok,3676032,ok,3581355,b,3569424,ok,3559551,ok,3551553,ok,3557772,ok,3597297,ok,3586313,ok,3583590,ok,3582497,ok,3580568,ok
NR,TOTAL,T,DE,1499457,ok,1490711,ok,1486160,b,1480166,ok,1476237,ok,1474378,ok,1477202,ok,1488308,ok,1492187,ok,1493055,ok,1495885,ok,1498223,ok
NR,TOTAL,T,DE,515322,ok,513794,ok,518554,b,518370,ok,518289,ok,519136,ok,521863,ok,532715,ok,528728,ok,529597,ok,531007,ok,533113,ok
NR,TOTAL,T,DE,2013572,ok,2008170,ok,1989471,b,1991497,ok,1995752,ok,2000852,ok,2012517,ok,2031780,ok,2045138,ok,2051027,ok,2057952,ok,2062567,ok
NR,TOTAL,T,DE,1030324,ok,1022585,ok,1001879,b,997855,ok,994287,ok,990718,ok,989035,ok,995597,ok,996651,ok,994187,ok,990509,ok,986887,ok
NR,TOTAL,T,DE,1638111,ok,1631486,ok,1594568,b,1591710,ok,1591320,ok,1590927,ok,1592765,ok,1602754,ok,1600155,ok,1598573,ok,1598199,ok,1596566,ok
NR,TOTAL,T,DE,,ok,,ok,1505254,b,1491442,ok,1480210,ok,1468954,ok,1463341,ok,1465612,ok,1454144,ok,1444953,ok,1436445,ok,1426380,ok
