Country,Year,GDP
AT,2008,98.7
BE,2008,99.6
BG,2008,95.3
CH,2008,96.8
CY,2008,98.3
CZ,2008,106.8
DE,2008,96.9
DK,2008,96.3
EE,2008,93.7
EL,2008,91.7
ES,2008,99.2
EU27_2020,2008,95.6
EU28,2008,96.2
FI,2008,93.3
FR,2008,89.3
HR,2008,97.9
HU,2008,98.3
IE,2008,98.6
IS,2008,89.5
IT,2008,93.3
LT,2008,101.6
LU,2008,102.5
LV,2008,94.2
MK,2008,91.9
MT,2008,102.8
NL,2008,97.5
NO,2008,96.9
PL,2008,103.3
PT,2008,102.3
RO,2008,85.7
SE,2008,100.8
SI,2008,91.3
SK,2008,105.0
TR,2008,94.6
UK,2008,100.1
AT,2009,100.6
BE,2009,101.9
BG,2009,99.9
CH,2009,101.4
CY,2009,103.2
CZ,2009,111.5
DE,2009,103.5
DK,2009,101.8
EE,2009,106.5
EL,2009,95.8
ES,2009,103.9
EU27_2020,2009,102.8
EU28,2009,102.9
FI,2009,102.5
FR,2009,101.1
HR,2009,103.0
HU,2009,103.7
IE,2009,104.0
IS,2009,98.0
IT,2009,103.5
LT,2009,111.8
LU,2009,107.1
LV,2009,96.1
MK,2009,92.4
MT,2009,105.0
NL,2009,102.3
NO,2009,99.5
PL,2009,102.4
PT,2009,104.3
RO,2009,93.8
SE,2009,105.7
SI,2009,102.0
SK,2009,104.6
TR,2009,101.6
UK,2009,103.8
AT,2010,100.0
BE,2010,100.0
BG,2010,100.0
CH,2010,100.0
CY,2010,100.0
CZ,2010,100.0
DE,2010,100.0
DK,2010,100.0
EE,2010,100.0
EL,2010,100.0
ES,2010,100.0
EU27_2020,2010,100.0
EU28,2010,100.0
FI,2010,100.0
FR,2010,100.0
HR,2010,100.0
HU,2010,100.0
IE,2010,100.0
IS,2010,100.0
IT,2010,100.0
LT,2010,100.0
LU,2010,100.0
LV,2010,100.0
ME,2010,100.0
MK,2010,100.0
MT,2010,100.0
NL,2010,100.0
NO,2010,100.0
PL,2010,100.0
PT,2010,100.0
RO,2010,100.0
RS,2010,100.0
SE,2010,100.0
SI,2010,100.0
SK,2010,100.0
TR,2010,100.0
UK,2010,100.0
AT,2011,99.0
BE,2011,99.1
BG,2011,99.3
CH,2011,89.7
CY,2011,100.4
CZ,2011,99.3
DE,2011,97.5
DK,2011,100.8
EE,2011,95.2
EL,2011,109.8
ES,2011,100.3
EU27_2020,2011,98.0
EU28,2011,98.1
FI,2011,98.4
FR,2011,98.3
HR,2011,97.4
HU,2011,97.8
IE,2011,98.1
IS,2011,94.6
IT,2011,95.3
LT,2011,87.4
LU,2011,99.3
LV,2011,88.9
ME,2011,92.9
MK,2011,110.6
MT,2011,99.8
NL,2011,99.0
NO,2011,100.7
PL,2011,98.4
PT,2011,101.1
RO,2011,96.9
RS,2011,85.7
SE,2011,98.0
SI,2011,98.7
SK,2011,98.2
TR,2011,96.0
UK,2011,98.7
AT,2012,98.4
BE,2012,98.8
BG,2012,100.5
CH,2012,89.2
CY,2012,104.8
CZ,2012,98.7
DE,2012,97.5
DK,2012,100.0
EE,2012,96.6
EL,2012,116.6
ES,2012,99.7
EU27_2020,2012,96.8
EU28,2012,96.9
FI,2012,99.7
FR,2012,98.5
HR,2012,101.9
HU,2012,99.4
IE,2012,96.0
IS,2012,94.7
IT,2012,87.8
LT,2012,95.2
LU,2012,101.9
LV,2012,85.8
ME,2012,97.2
MK,2012,103.5
MT,2012,96.2
NL,2012,99.9
NO,2012,97.9
PL,2012,93.6
PT,2012,103.7
RO,2012,97.9
RS,2012,87.5
SE,2012,98.3
SI,2012,100.6
SK,2012,96.4
TR,2012,97.3
UK,2012,98.0
AT,2013,99.7
BE,2013,93.4
BG,2013,102.4
CH,2013,88.3
CY,2013,111.4
CZ,2013,100.0
DE,2013,97.4
DK,2013,99.2
EE,2013,99.7
EL,2013,118.9
ES,2013,99.6
EU27_2020,2013,95.8
EU28,2013,95.6
FI,2013,100.4
FR,2013,87.8
HR,2013,102.8
HU,2013,97.7
IE,2013,97.3
IS,2013,93.2
IT,2013,95.0
LT,2013,90.0
LU,2013,100.3
LV,2013,84.9
ME,2013,96.3
MK,2013,121.9
MT,2013,92.6
NL,2013,101.5
NO,2013,98.2
PL,2013,93.1
PT,2013,104.3
RO,2013,97.5
RS,2013,86.7
SE,2013,97.2
SI,2013,101.6
SK,2013,96.0
TR,2013,92.6
UK,2013,95.1
AT,2014,101.3
BE,2014,93.8
BG,2014,106.5
CH,2014,87.1
CY,2014,115.6
CZ,2014,101.2
DE,2014,96.8
DK,2014,99.5
EE,2014,101.3
EL,2014,119.2
ES,2014,93.5
EU27_2020,2014,95.2
EU28,2014,95.0
FI,2014,101.1
FR,2014,87.7
HR,2014,103.2
HU,2014,95.3
IE,2014,88.9
IS,2014,96.3
IT,2014,97.1
LT,2014,65.9
LU,2014,99.2
LV,2014,88.4
ME,2014,93.6
MK,2014,136.6
MT,2014,90.6
NL,2014,100.4
NO,2014,99.4
PL,2014,91.6
PT,2014,105.0
RO,2014,100.3
RS,2014,101.5
SE,2014,96.5
SI,2014,100.7
SK,2014,94.3
TR,2014,91.0
UK,2014,94.3
AT,2015,102.3
BE,2015,90.0
BG,2015,106.9
CH,2015,86.5
CY,2015,115.4
CZ,2015,99.3
DE,2015,96.6
DK,2015,101.3
EE,2015,107.9
EL,2015,121.4
ES,2015,94.1
EU27_2020,2015,95.0
EU28,2015,94.6
FI,2015,101.8
FR,2015,87.4
HR,2015,101.1
HU,2015,94.1
IE,2015,77.2
IS,2015,98.5
IT,2015,100.6
LT,2015,65.2
LU,2015,98.4
LV,2015,89.2
ME,2015,91.9
MK,2015,133.2
MT,2015,86.6
NL,2015,94.0
NO,2015,99.7
PL,2015,89.1
PT,2015,105.5
RO,2015,103.6
RS,2015,103.0
SE,2015,93.9
SI,2015,100.1
SK,2015,92.8
TR,2015,90.4
UK,2015,92.4
AT,2016,103.1
BE,2016,87.5
BG,2016,101.8
CH,2016,86.3
CY,2016,113.1
CZ,2016,101.2
DE,2016,96.4
DK,2016,101.1
EE,2016,106.3
EL,2016,123.3
ES,2016,94.7
EU27_2020,2016,95.3
EU28,2016,94.8
FI,2016,87.9
FR,2016,88.2
HR,2016,98.0
HU,2016,95.4
IE,2016,80.2
IS,2016,107.4
IT,2016,102.6
LT,2016,65.6
LU,2016,96.5
LV,2016,88.6
ME,2016,98.0
MK,2016,128.2
MT,2016,86.1
NL,2016,93.0
NO,2016,99.6
PL,2016,87.8
PT,2016,111.4
RO,2016,104.7
RS,2016,100.8
SE,2016,93.9
SI,2016,98.6
SK,2016,93.2
TR,2016,90.3
UK,2016,91.9
AT,2017,102.3
BE,2017,86.7
BG,2017,98.9
CH,2017,85.9
CY,2017,109.4
CZ,2017,99.9
DE,2017,91.7
DK,2017,99.9
EE,2017,102.2
EL,2017,123.2
ES,2017,88.9
EU27_2020,2017,93.6
EU28,2017,93.8
FI,2017,97.4
FR,2017,87.0
HR,2017,95.5
HU,2017,95.7
IE,2017,76.2
IS,2017,106.5
IT,2017,105.9
LT,2017,75.3
LU,2017,96.9
LV,2017,91.1
ME,2017,95.3
MK,2017,126.5
MT,2017,80.1
NL,2017,89.3
NO,2017,98.9
PL,2017,84.5
PT,2017,109.5
RO,2017,100.0
RS,2017,101.8
SE,2017,93.0
SI,2017,96.2
SK,2017,91.9
TR,2017,85.4
UK,2017,95.5
AT,2018,97.8
BE,2018,85.8
BG,2018,94.1
CH,2018,83.7
CY,2018,107.7
CZ,2018,100.9
DE,2018,90.7
DK,2018,98.2
EE,2018,99.7
EL,2018,122.9
ES,2018,89.1
EU27_2020,2018,92.4
EU28,2018,92.8
FI,2018,96.4
FR,2018,86.4
HR,2018,90.2
HU,2018,94.9
IE,2018,71.7
IS,2018,90.6
IT,2018,102.6
LT,2018,70.1
LU,2018,95.9
LV,2018,89.2
ME,2018,96.0
MK,2018,129.1
MT,2018,77.7
NL,2018,91.1
NO,2018,98.7
PL,2018,82.0
PT,2018,110.4
RO,2018,100.8
RS,2018,99.5
SE,2018,91.3
SI,2018,93.5
SK,2018,90.3
TR,2018,86.4
UK,2018,95.7
AT,2019,97.1
BE,2019,84.7
BG,2019,93.3
CH,2019,84.1
CY,2019,107.6
CZ,2019,102.0
DE,2019,88.8
DK,2019,98.0
EE,2019,100.9
EL,2019,122.4
ES,2019,88.0
EU27_2020,2019,92.7
EU28,2019,93.2
FI,2019,95.6
FR,2019,88.4
HR,2019,87.5
HU,2019,93.7
IE,2019,69.7
IS,2019,109.2
IT,2019,103.6
LT,2019,69.9
LU,2019,96.2
LV,2019,88.7
MK,2019,124.8
MT,2019,74.6
NL,2019,90.5
NO,2019,98.7
PL,2019,88.5
PT,2019,110.8
RO,2019,102.9
RS,2019,97.3
SE,2019,89.4
SI,2019,91.8
SK,2019,88.7
TR,2019,89.7
UK,2019,96.2
