Country,Year,ModalSplit_VehicleType,ModalSplit_ModalSplitKm,ModalTransportToGDP_GDP,RailwayLength_RailwayLengthKm,RailwayTransport_RailwayTransportKm,AirTransport_AirTransportKm,MotorwayNetwork_Unit,MotorwayNetwork_MotorwayLengthKm,RailwayNetwork_RailwayLengthKm,RoadTrafficDeaths_TypeOfRoad,RoadTrafficDeaths_Unit,RoadTrafficDeaths_RoadTrafficDeaths,MotorwayLength_TypeOfRoad,MotorwayLength_LengthOfMotorways
AT,2004,TRN_BUS_TOT_AVD,20.1,102.9,,,,,,,RD_URB,RT,2.8,,
AT,2004,TRN_BUS_TOT_AVD,20.1,102.9,,,,,,,TOTAL,NR,878.0,,
AT,2004,TRN_BUS_TOT_AVD,20.1,102.9,,,,,,,TOTAL,RT,10.7,,
AT,2005,BUS_TOT,10.4,102.2,,,,,,,MWAY,NR,89.0,,
AT,2005,BUS_TOT,10.4,102.2,,,,,,,MWAY,RT,1.1,,
AT,2005,BUS_TOT,10.4,102.2,,,,,,,RD_RUR,NR,477.0,,
AT,2005,BUS_TOT,10.4,102.2,,,,,,,RD_RUR,RT,5.8,,
AT,2005,BUS_TOT,10.4,102.2,,,,,,,RD_URB,NR,202.0,,
AT,2005,BUS_TOT,10.4,102.2,,,,,,,RD_URB,RT,2.5,,
AT,2005,BUS_TOT,10.4,102.2,,,,,,,TOTAL,NR,768.0,,
AT,2005,BUS_TOT,10.4,102.2,,,,,,,TOTAL,RT,9.3,,
AT,2005,CAR,79.8,102.2,,,,,,,MWAY,NR,89.0,,
AT,2005,CAR,79.8,102.2,,,,,,,MWAY,RT,1.1,,
AT,2005,CAR,79.8,102.2,,,,,,,RD_RUR,NR,477.0,,
AT,2005,CAR,79.8,102.2,,,,,,,RD_RUR,RT,5.8,,
AT,2005,CAR,79.8,102.2,,,,,,,RD_URB,NR,202.0,,
AT,2005,CAR,79.8,102.2,,,,,,,RD_URB,RT,2.5,,
AT,2005,CAR,79.8,102.2,,,,,,,TOTAL,NR,768.0,,
AT,2005,CAR,79.8,102.2,,,,,,,TOTAL,RT,9.3,,
AT,2005,TRN,9.8,102.2,,,,,,,MWAY,NR,89.0,,
AT,2005,TRN,9.8,102.2,,,,,,,MWAY,RT,1.1,,
AT,2005,TRN,9.8,102.2,,,,,,,RD_RUR,NR,477.0,,
AT,2005,TRN,9.8,102.2,,,,,,,RD_RUR,RT,5.8,,
AT,2005,TRN,9.8,102.2,,,,,,,RD_URB,NR,202.0,,
AT,2005,TRN,9.8,102.2,,,,,,,RD_URB,RT,2.5,,
