Country,Year,AirTransportKm
SE,2018,38945096.0
SI,2018,1810567.0
SK,2018,2794094.0
UK,2018,272190140.0
AT,2019,35644188.0
BE,2019,35385188.0
BG,2019,11713068.0
CH,2019,57194330.0
CY,2019,11261410.0
CZ,2019,18832696.0
DE,2019,226764080.0
DK,2019,34780130.0
EE,2019,3258003.0
EL,2019,56088530.0
ES,2019,228262370.0
EU27_2007,2019,1143887700.0
EU27_2020,2019,1035185400.0
EU28,2019,1146593000.0
FI,2019,23287928.0
FR,2019,168726780.0
HR,2019,10623239.0
HU,2019,16700750.0
IE,2019,37947510.0
IS,2019,7584197.0
IT,2019,160667940.0
LT,2019,6504685.0
LU,2019,4365569.0
LV,2019,7785726.0
ME,2019,2652801.0
MK,2019,2353327.0
MT,2019,7318357.0
NL,2019,81192504.0
NO,2019,40348436.0
PL,2019,46942772.0
PT,2019,55007896.0
RO,2019,21565864.0
RS,2019,6450643.0
SE,2019,37614764.0
SI,2019,1719039.0
SK,2019,2839787.0
UK,2019,277432400.0
AT,2020,9168431.0
BE,2020,9465828.0
BG,2020,3729017.0
CH,2020,16006811.0
CY,2020,2270577.0
CZ,2020,3821372.0
DE,2020,57795976.0
DK,2020,8658654.0
EE,2020,857837.0
EL,2020,17341192.0
ES,2020,57797304.0
EU27_2020,2020,276673440.0
FI,2020,5428622.0
FR,2020,50724012.0
HR,2020,1919100.0
HU,2020,3962687.0
IE,2020,8268324.0
IS,2020,1527633.0
IT,2020,40405356.0
LT,2020,1804500.0
LU,2020,1426310.0
LV,2020,1995133.0
ME,2020,521959.0
MK,2020,709241.0
MT,2020,1752445.0
NL,2020,23594784.0
NO,2020,13216883.0
PL,2020,13825504.0
PT,2020,16548993.0
RO,2020,6650110.0
RS,2020,1938466.0
SE,2020,9317677.0
SI,2020,287787.0
SK,2020,500604.0
