TypeOfRoad,Unit,Country,Year,RoadTrafficDeaths
TOTAL,NR,LT,2001,706.0
TOTAL,NR,LU,2001,70.0
TOTAL,NR,LV,2001,558.0
TOTAL,NR,MT,2001,16.0
TOTAL,NR,NL,2001,993.0
TOTAL,NR,NO,2001,275.0
TOTAL,NR,PL,2001,5534.0
TOTAL,NR,PT,2001,1655.0
TOTAL,NR,RO,2001,2450.0
TOTAL,NR,SE,2001,583.0
TOTAL,NR,SI,2001,278.0
TOTAL,NR,SK,2001,625.0
TOTAL,NR,UK,2001,3598.0
TOTAL,RT,AT,2001,11.9
TOTAL,RT,BE,2001,14.4
TOTAL,RT,BG,2001,12.6
TOTAL,RT,CH,2001,7.5
TOTAL,RT,CY,2001,14.0
TOTAL,RT,CZ,2001,13.0
TOTAL,RT,DE,2001,8.5
TOTAL,RT,DK,2001,8.0
TOTAL,RT,EE,2001,14.3
TOTAL,RT,EL,2001,17.3
TOTAL,RT,ES,2001,13.4
TOTAL,RT,EU27_2020,2001,11.9
TOTAL,RT,EU28,2001,11.2
TOTAL,RT,FI,2001,8.3
TOTAL,RT,FR,2001,13.3
TOTAL,RT,HR,2001,15.0
TOTAL,RT,HU,2001,12.2
TOTAL,RT,IE,2001,10.7
TOTAL,RT,IS,2001,8.4
TOTAL,RT,IT,2001,12.5
TOTAL,RT,LI,2001,6.0
TOTAL,RT,LT,2001,20.3
TOTAL,RT,LU,2001,15.9
TOTAL,RT,LV,2001,23.9
TOTAL,RT,MT,2001,4.1
TOTAL,RT,NL,2001,6.2
TOTAL,RT,NO,2001,6.1
TOTAL,RT,PL,2001,14.5
TOTAL,RT,PT,2001,16.0
TOTAL,RT,RO,2001,11.1
TOTAL,RT,SE,2001,6.6
TOTAL,RT,SI,2001,14.0
TOTAL,RT,SK,2001,11.6
TOTAL,RT,UK,2001,6.1
UNK,NR,BG,2001,1011.0
UNK,NR,CY,2001,98.0
UNK,NR,EE,2001,199.0
UNK,NR,HR,2001,647.0
UNK,NR,HU,2001,1239.0
UNK,NR,IS,2001,24.0
UNK,NR,LI,2001,2.0
UNK,NR,LT,2001,706.0
UNK,NR,LV,2001,558.0
UNK,NR,MT,2001,16.0
UNK,NR,NO,2001,275.0
UNK,RT,BG,2001,12.6
UNK,RT,CY,2001,14.0
UNK,RT,EE,2001,14.3
UNK,RT,HR,2001,15.0
UNK,RT,HU,2001,12.2
UNK,RT,IS,2001,8.4
UNK,RT,LI,2001,6.0
UNK,RT,LT,2001,20.3
UNK,RT,LV,2001,23.9
UNK,RT,MT,2001,4.1
UNK,RT,NO,2001,6.1
MWAY,NR,AT,2002,126.0
MWAY,NR,BE,2002,171.0
MWAY,NR,CH,2002,76.0
MWAY,NR,CZ,2002,53.0
MWAY,NR,DE,2002,857.0
MWAY,NR,DK,2002,48.0
MWAY,NR,EL,2002,69.0
MWAY,NR,ES,2002,1096.0
MWAY,NR,FI,2002,16.0
MWAY,NR,FR,2002,518.0
MWAY,NR,IE,2002,5.0
MWAY,NR,IT,2002,801.0
MWAY,NR,LU,2002,12.0
