Country,Year,PopulationCount
PL,2016,37967210.0
PL,2017,37972964.0
PL,2018,37976690.0
PL,2019,37972812.0
PL,2020,37958136.0
PT,2009,10563014.0
PT,2010,10573479.0
PT,2011,10572721.0
PT,2012,10542398.0
PT,2013,10487289.0
PT,2014,10427301.0
PT,2015,10374822.0
PT,2016,10341330.0
PT,2017,10309573.0
PT,2018,10291027.0
PT,2019,10276617.0
PT,2020,10295909.0
RO,2009,21498616.0
RO,2010,21462186.0
RO,2011,21413816.0
RO,2012,20095996.0
RO,2013,20020074.0
RO,2014,19947312.0
RO,2015,19870648.0
RO,2016,19760584.0
RO,2017,19643948.0
RO,2018,19533480.0
RO,2019,19414458.0
RO,2020,19328838.0
RS,2017,7040272.0
RS,2018,7001444.0
RS,2019,6963764.0
RS,2020,6926705.0
SE,2009,9256347.0
SE,2010,9340682.0
SE,2011,9415570.0
SE,2012,9482855.0
SE,2013,9555893.0
SE,2014,9644864.0
SE,2015,9747355.0
SE,2016,9851017.0
SE,2017,9995153.0
SE,2018,10120242.0
SE,2019,10230185.0
SE,2020,10327589.0
SI,2009,2032362.0
SI,2010,2046976.0
SI,2011,2050189.0
SI,2012,2055496.0
SI,2013,2058821.0
SI,2014,2061085.0
SI,2015,2062874.0
SI,2016,2064188.0
SI,2017,2065895.0
SI,2018,2066880.0
SI,2019,2080908.0
SI,2020,2095861.0
SK,2009,5382401.0
SK,2010,5390410.0
SK,2011,5392446.0
SK,2012,5404322.0
SK,2013,5410836.0
SK,2014,5415949.0
SK,2015,5421349.0
SK,2016,5426252.0
SK,2017,5435343.0
SK,2018,5443120.0
SK,2019,5450421.0
SK,2020,5457873.0
TR,2009,71517100.0
TR,2010,72561310.0
TR,2011,73722990.0
TR,2012,74724270.0
TR,2013,75627384.0
TR,2014,76667864.0
TR,2015,77695900.0
TR,2016,78741060.0
TR,2017,79814870.0
TR,2018,80810530.0
TR,2019,82003880.0
TR,2020,83155000.0
UK,2009,57749680.0
UK,2010,58195624.0
UK,2011,58681376.0
UK,2012,63495090.0
UK,2013,63905344.0
UK,2014,64351204.0
UK,2015,64853390.0
UK,2016,65379044.0
UK,2017,65844144.0
UK,2018,66273576.0
UK,2019,64761924.0
